Date,Open,High,Low,Close,Adj Close,Volume
2013-09-19,11.386667,12.031333,11.272000,11.861333,11.861333,233919000
2013-09-20,11.926667,12.388667,11.904000,12.226000,12.226000,201025500
2013-09-23,12.298667,12.365333,11.807333,12.074000,12.074000,122601000
2013-09-24,11.942667,12.330667,11.843333,12.155333,12.155333,94101000
2013-09-25,12.237333,12.420000,12.033333,12.349333,12.349333,123790500
2013-09-26,12.446667,12.645333,12.374000,12.576000,12.576000,99216000
2013-09-27,12.501333,12.752000,12.428667,12.726667,12.726667,88746000
2013-09-30,12.600000,12.966667,12.533333,12.891333,12.891333,133870500
2013-10-01,12.930667,12.948667,12.558000,12.866667,12.866667,116338500
2013-10-02,12.572667,12.788667,11.693333,12.063333,12.063333,311631000
2013-10-03,11.670000,11.979333,11.200000,11.554000,11.554000,357247500
2013-10-04,11.760000,12.078667,11.510000,12.065333,12.065333,216210000
2013-10-07,12.164000,12.448667,12.017333,12.204667,12.204667,172284000
2013-10-08,12.293333,12.395333,11.547333,11.648667,11.648667,206358000
2013-10-09,11.648667,11.666000,10.766667,11.252000,11.252000,229747500
2013-10-10,11.539333,11.716667,11.312667,11.528667,11.528667,133258500
2013-10-11,11.516667,11.952667,11.413333,11.913333,11.913333,124666500
2013-10-14,11.666667,12.166667,11.610000,11.981333,11.981333,116544000
2013-10-15,12.352000,12.586000,12.212000,12.262667,12.262667,164677500
2013-10-16,12.326667,12.486667,12.139333,12.237333,12.237333,123081000
2013-10-17,12.236000,12.320000,12.066000,12.186667,12.186667,100575000
2013-10-18,12.276667,12.397333,12.168000,12.226667,12.226667,88962000
2013-10-21,12.218667,12.226000,11.400000,11.506667,11.506667,172981500
2013-10-22,11.366667,11.852000,11.074000,11.436000,11.436000,170800500
2013-10-23,11.260667,11.454000,10.676667,10.966667,10.966667,199806000
2013-10-24,11.000000,11.633333,10.855333,11.543333,11.543333,162385500
2013-10-25,11.614000,11.633333,11.120000,11.310667,11.310667,113932500
2013-10-28,11.345333,11.366667,10.813333,10.857333,10.857333,117625500
2013-10-29,10.850667,11.030000,10.200000,10.964667,10.964667,211675500
2013-10-30,10.975333,11.178667,10.544667,10.614667,10.614667,126027000
2013-10-31,10.378000,10.829333,10.220000,10.662667,10.662667,140007000
2013-11-01,10.866667,11.060000,10.694000,10.811333,10.811333,107709000
2013-11-04,11.000000,11.692667,10.948000,11.680000,11.680000,196806000
2013-11-05,12.000000,12.095333,11.424000,11.787333,11.787333,337006500
2013-11-06,10.320667,10.715333,9.756667,10.077333,10.077333,466075500
2013-11-07,9.612667,9.710000,9.174667,9.318000,9.318000,334270500
2013-11-08,9.098667,9.373333,8.821333,9.196667,9.196667,337168500
2013-11-11,9.400000,9.694667,9.140000,9.646667,9.646667,209964000
2013-11-12,9.646000,9.646667,9.078667,9.186667,9.186667,224778000
2013-11-13,9.389333,9.491333,9.089333,9.246667,9.246667,189874500
2013-11-14,9.261333,9.360000,8.940667,9.173333,9.173333,183055500
2013-11-15,9.123333,9.196667,8.956667,9.030000,9.030000,148503000
2013-11-18,9.018000,9.030000,7.974000,8.105333,8.105333,347073000
2013-11-19,7.962000,8.600000,7.948000,8.406000,8.406000,297243000
2013-11-20,8.405333,8.496667,7.937333,8.074000,8.074000,207744000
2013-11-21,8.192667,8.319333,8.016667,8.140000,8.140000,178557000
2013-11-22,8.105333,8.183333,7.862000,8.092000,8.092000,166450500
2013-11-25,8.300000,8.389333,8.020000,8.056000,8.056000,154009500
2013-11-26,7.958667,8.181333,7.740000,8.033333,8.033333,208282500
2013-11-27,8.087333,8.463333,7.968000,8.462667,8.462667,185514000
2013-11-29,8.651333,8.706000,8.465333,8.485333,8.485333,145743000
2013-12-02,8.423333,8.570000,8.262000,8.278000,8.278000,116268000
2013-12-03,8.845333,9.662667,8.772667,9.646667,9.646667,385236000
2013-12-04,9.621333,9.628667,9.142000,9.263333,9.263333,197215500
2013-12-05,9.343333,9.556667,9.300000,9.365333,9.365333,139326000
2013-12-06,9.434000,9.499333,9.086667,9.157333,9.157333,118644000
2013-12-09,9.133333,9.446667,8.947333,9.440000,9.440000,135922500
2013-12-10,9.336667,9.724667,9.324000,9.479333,9.479333,161223000
2013-12-11,9.458667,9.536667,9.299333,9.310000,9.310000,107067000
2013-12-12,9.313333,9.882667,9.235333,9.831333,9.831333,161517000
2013-12-13,9.870000,10.120000,9.821333,9.843333,9.843333,158878500
2013-12-16,9.898667,10.028667,9.740000,9.862667,9.862667,100129500
2013-12-17,9.838667,10.308667,9.754667,10.164000,10.164000,157425000
2013-12-18,10.149333,10.326667,9.730000,9.865333,9.865333,173728500
2013-12-19,9.793333,9.800000,9.273333,9.381333,9.381333,191100000
2013-12-20,9.438667,9.623333,9.438667,9.549333,9.549333,111189000
2013-12-23,9.656667,9.749333,9.506667,9.570000,9.570000,80782500
2013-12-24,10.000000,10.331333,9.988000,10.094000,10.094000,149122500
2013-12-26,10.336000,10.533333,10.286000,10.366667,10.366667,106942500
2013-12-27,10.353333,10.366667,10.053333,10.074667,10.074667,81903000
2013-12-30,10.074667,10.320667,10.050000,10.162667,10.162667,67012500
