"total_steps","common_active_calories","floors_ascended","max_heart_rate","min_avg_heart_rate","average_stress","resting_heart_rate","max_stress","abnormalhr_alerts_count","max_avg_heart_rate","total_steps_goal","user_floors_ascended_goal","moderate_intensity_minutes","total_calories","bodybattery_charged","floors_descended","bmr_calories","food_calories_remaining","common_total_calories","average_steps","vigorous_intensity_minutes","total_distance","common_total_distance","active_calories","food_calories_consumed","id","athlete_id","calendar_date","user_intensity_goal","min_heart_rate","body_battery_drained","sleep_duration"
11674,nan,83,160,45,21,47,75,0,156,nan,10,3,2584,44,82,1904,-340.0,2584,0,54,11225,11225,680,2924,72,1,"2022-09-04",150,43,50,23569
16662,nan,120,160,43,18,45,93,0,154,nan,10,3,2864,68,118,1904,-400.0,2864,0,64,15494,15494,960,3264,73,1,"2022-09-03",150,42,57,23580
10265,nan,52,129,42,31,45,98,0,125,nan,10,3,2364,20,51,1904,150,2364,0,15,8266,8266,460,2214,74,1,"2022-09-02",150,39,44,19920
11325,nan,55,135,39,26,46,89,0,133,nan,10,0,2311,56,61,1904,-471.0,2311,0,6,9116,9116,407,2782,75,1,"2022-09-01",150,38,37,22080
14946,nan,23,150,40,18,43,81,0,146,nan,10,1,2724,70,18,1904,-1348.0,2724,0,61,15451,15451,820,4072,76,1,"2022-08-31",150,38,64,28200
19852,nan,25,169,42,18,45,81,0,167,nan,10,25,3048,53,28,1891,-25.0,3048,0,70,19633,19633,1157,3073,77,1,"2022-08-30",150,41,53,27540
19482,nan,21,153,42,20,44,94,0,153,nan,10,31,2926,53,21,1891,-717.0,2926,0,65,18868,18868,1035,3643,78,1,"2022-08-29",150,40,60,27360
15938,nan,15,156,40,21,40,85,0,156,nan,10,32,2957,64,19,1893,172,2957,0,66,16928,16928,1064,2785,79,1,"2022-08-28",150,38,47,27900
14543,nan,17,153,38,17,40,81,0,150,nan,10,0,2719,55,15,1895,120,2719,0,62,15228,15228,824,2599,80,1,"2022-08-27",150,37,66,26760
14109,nan,11,185,36,16,42,100,0,185,nan,10,92,2752,64,14,1893,101,2752,0,34,12749,12749,859,2651,81,1,"2022-08-26",150,32,60,25380
17178,nan,17,159,41,17,42,84,0,154,nan,10,32,2760,65,20,1898,74,2760,0,58,18329,18329,862,2686,82,1,"2022-08-25",150,40,53,26460
22451,nan,44,150,41,14,42,92,0,149,nan,10,14,2807,65,47,1898,181,2807,0,58,22585,22585,909,2626,83,1,"2022-08-24",150,40,45,35160
14189,nan,108,162,42,14,43,73,0,158,nan,10,24,2617,40,109,1898,-497.0,2617,0,55,13136,13136,719,3114,84,1,"2022-08-23",150,41,104,25080
17832,nan,149,170,41,32,49,98,0,170,nan,10,31,2811,50,138,1898,432,2811,0,64,16651,16651,913,2379,85,1,"2022-08-22",150,40,19,20640
15099,nan,112,112,43,17,47,96,0,108,nan,10,0,2239,51,78,1898,-418.0,2239,0,0,12454,12454,341,2657,86,1,"2022-08-21",150,42,54,30060
17577,nan,157,156,44,25,46,81,0,152,nan,10,11,2734,30,143,1898,904,2734,0,56,15673,15673,836,1830,87,1,"2022-08-20",150,43,48,19500
16155,nan,124,160,42,23,49,98,0,155,nan,10,4,2715,61,110,1898,-1019.0,2715,0,55,15003,15003,817,3734,88,1,"2022-08-19",150,41,44,23400
15102,nan,133,158,39,19,48,98,0,157,nan,10,9,2729,48,122,1898,-583.0,2729,0,61,14227,14227,831,3312,89,1,"2022-08-18",150,38,52,23220
16869,nan,40,175,42,19,44,90,0,162,nan,10,1,2699,63,34,1898,-130.0,2699,0,62,17240,17240,801,2829,90,1,"2022-08-17",150,42,55,28260
18461,nan,35,163,42,16,44,87,0,156,nan,10,30,2823,64,39,1901,-557.0,2823,0,62,18482,18482,922,3380,91,1,"2022-08-16",150,40,58,28260
20627,nan,47,152,41,17,43,93,0,152,nan,10,31,2814,57,43,1901,126,2814,0,59,20113,20113,913,2688,92,1,"2022-08-15",150,40,60,28380
16279,nan,52,156,44,20,44,97,0,155,nan,10,35,2851,53,50,1900,-358.0,2851,0,61,16448,16448,951,3209,93,1,"2022-08-14",150,43,75,29520
21273,nan,73,162,39,23,47,91,0,162,nan,10,68,2998,77,84,1900,-270.0,2998,0,55,20253,20253,1098,3268,94,1,"2022-08-13",150,39,54,28020
8950,nan,62,120,41,24,46,91,0,116,nan,10,9,2174,21,38,1900,575,2174,0,4,7286,7286,274,1599,95,1,"2022-08-12",150,39,43,22440
10901,nan,60,123,43,27,48,97,0,120,nan,10,5,2170,54,54,1900,-496.0,2170,0,3,8798,8798,270,2666,96,1,"2022-08-11",150,42,47,28140
17189,nan,50,149,42,20,46,89,0,146,nan,10,0,2722,66,32,1900,182,2722,0,62,17433,17433,822,2540,97,1,"2022-08-10",150,41,51,30300
17036,nan,34,148,42,18,47,73,0,146,nan,10,39,2693,54,36,1901,-228.0,2693,0,53,17204,17204,792,2921,98,1,"2022-08-09",150,40,66,28920
21590,nan,29,153,46,21,48,99,0,151,nan,10,39,2937,60,28,1901,-61.0,2937,0,67,21073,21073,1036,2998,99,1,"2022-08-08",150,45,58,28980
19997,nan,36,166,44,21,45,96,0,164,nan,10,42,2942,69,36,1901,196,2942,0,62,19610,19610,1041,2746,100,1,"2022-08-07",150,43,67,32940
18432,nan,106,168,45,26,48,80,0,166,nan,10,14,2739,36,106,1901,-214.0,2739,0,57,16526,16526,838,2953,101,1,"2022-08-06",150,44,47,20700
10384,nan,59,99,42,24,47,90,0,95,nan,10,0,2030,60,34,1901,-497.0,2030,0,0,8375,8375,129,2527,102,1,"2022-08-05",150,41,46,26700
22037,nan,43,160,40,16,44,98,0,160,nan,10,82,2878,67,42,1900,820,2878,0,44,19953,19953,978,2058,103,1,"2022-08-04",150,40,84,23400
20694,nan,79,161,44,24,51,88,0,160,nan,10,75,2670,46,72,1911,430,2670,0,29,18415,18415,759,2240,104,1,"2022-08-03",150,43,43,27300
19044,nan,63,159,44,22,48,87,0,156,nan,10,64,2615,55,55,1903,-740.0,2615,0,33,16674,16674,712,3355,106,1,"2022-08-01",150,43,56,23100
11987,nan,30,123,42,19,45,94,0,121,nan,10,64,2278,62,33,1897,-354.0,2278,0,0,9622,9622,381,2632,107,1,"2022-07-31",150,39,44,25553
14570,nan,57,120,43,22,46,91,0,112,nan,10,64,2326,32,31,1909,29,2326,0,0,11813,11813,417,2297,108,1,"2022-07-30",150,42,60,23160
